SID;system;time;treat;sys-time;sys-treat;sys-time-treat;BAC0001;BAC0002;BAC0003;BAC0004;BAC0005;BAC0006;BAC0007;BAC0008;BAC0009;BAC0010;BAC0011;BAC0012;BAC0013;BAC0014;BAC0015;BAC0016;BAC0017;BAC0018;BAC0019;BAC0020;BAC0021;BAC0022;BAC0023;BAC0024;BAC0025;BAC0026;BAC0027;BAC0028;BAC0029;BAC0030;BAC0031;BAC0032;BAC0033;BAC0034;BAC0035;BAC0036;BAC0039;BAC0040;BAC0041;BAC0042;BAC0043;BAC0044;BAC0045;BAC0046;BAC0047;BAC0048;BAC0049;BAC0050;BAC0051;BAC0053;BAC0054;BAC0055;BAC0056;BAC0057;BAC0058;BAC0060;BAC0061;BAC0063;BAC0064;BAC0065;BAC0066;BAC0067;BAC0068;BAC0069;BAC0071;BAC0072;BAC0073;BAC0074;BAC0076;BAC0077;BAC0078;BAC0079;BAC0080;BAC0081;BAC0082;BAC0083;BAC0084;BAC0085;BAC0086;BAC0087;BAC0088;BAC0089;BAC0091;BAC0092;BAC0095;BAC0096;BAC0098;BAC0099;BAC0100;BAC0101;BAC0102;BAC0103;BAC0104;BAC0105;BAC0106;BAC0107;BAC0108;BAC0109;BAC0110;BAC0111;BAC0112;BAC0113;BAC0114;BAC0115;BAC0116;BAC0117;BAC0119;BAC0120;BAC0121;BAC0122;BAC0124;BAC0125;BAC0126;BAC0127;BAC0128;BAC0130;BAC0131;BAC0132;BAC0133;BAC0134;BAC0135;BAC0136;BAC0137;BAC0138;BAC0140;BAC0141;BAC0142;BAC0143;BAC0144;BAC0145;BAC0146;BAC0147;BAC0148;BAC0149;BAC0150;BAC0151;BAC0152;BAC0153;BAC0154;BAC0155;BAC0156;BAC0157;BAC0158;BAC0159;BAC0160;BAC0161;BAC0162;BAC0163;BAC0164;BAC0165;BAC0166;BAC0167;BAC0168;BAC0169;BAC0170;BAC0171;BAC0172;BAC0173;BAC0174;BAC0176;BAC0178;BAC0179;BAC0180;BAC0181;BAC0182;BAC0183;BAC0184;BAC0185;BAC0186;BAC0187;BAC0188;BAC0189;BAC0190;BAC0191;BAC0192;BAC0193;BAC0194;BAC0195;BAC0196;BAC0197;BAC0198;BAC0199;BAC0201;BAC0202;BAC0203;BAC0204;BAC0205;BAC0206;BAC0207;BAC0208;BAC0209;BAC0210;BAC0211;BAC0212;BAC0213;BAC0215;BAC0216;BAC0217;BAC0218;BAC0219;BAC0220;BAC0221;BAC0222;BAC0223;BAC0224;BAC0227;BAC0228;BAC0229;BAC0231;BAC0232;BAC0233;BAC0234;BAC0235;BAC0236;BAC0237;BAC0238;BAC0239;BAC0240;BAC0241;BAC0242;BAC0243;BAC0244;BAC0245;BAC0246;BAC0247;BAC0248;BAC0249;BAC0250;BAC0251;BAC0252;BAC0253;BAC0254;BAC0255;BAC0256;BAC0257;BAC0258;BAC0259;BAC0260;BAC0261;BAC0263;BAC0264;BAC0265;BAC0267;BAC0268;BAC0269;BAC0270;BAC0271;BAC0272;BAC0273;BAC0274;BAC0275;BAC0276;BAC0277;BAC0278;BAC0280;BAC0281;BAC0282;BAC0283;BAC0284;BAC0285;BAC0286;BAC0287;BAC0288;BAC0289;BAC0290;BAC0291;BAC0292;BAC0293;BAC0294;BAC0295;BAC0296;BAC0297;BAC0298;BAC0299;BAC0301;BAC0302;BAC0303;BAC0304;BAC0305;BAC0306;BAC0307;BAC0308;BAC0309;BAC0310;BAC0312;BAC0313;BAC0314;BAC0315;BAC0316;BAC0317;BAC0318;BAC0319;BAC0320;BAC0321;BAC0322;BAC0323;BAC0324;BAC0325;BAC0326;BAC0327;BAC0328;BAC0329;BAC0330;BAC0331;BAC0332;BAC0333;BAC0334;BAC0335;BAC0336;BAC0337;BAC0338;BAC0339;BAC0340;BAC0341;BAC0342;BAC0343;BAC0344;BAC0345;BAC0346;BAC0347;BAC0348;BAC0349;BAC0350;BAC0351;BAC0352;BAC0353;BAC0354;BAC0355;BAC0356;BAC0357;BAC0358;BAC0359;BAC0360;BAC0361;BAC0362;BAC0363;BAC0364;BAC0366;BAC0367;BAC0368;BAC0370;BAC0371;BAC0372;BAC0374;BAC0375;BAC0376;BAC0377;BAC0378;BAC0379;BAC0381;BAC0382;BAC0383;BAC0384;BAC0385;BAC0386;BAC0387;BAC0388;BAC0389;BAC0390;BAC0391;BAC0392;BAC0393;BAC0394;BAC0395;BAC0396;BAC0397;BAC0398;BAC0399;BAC0400;BAC0401;BAC0402;BAC0403;BAC0404;BAC0405;BAC0406;BAC0409;BAC0413;BAC0414;BAC0415;BAC0416;BAC0417;BAC0418;BAC0419;BAC0420;BAC0421;BAC0422;BAC0423;BAC0424;BAC0425;BAC0426;BAC0427;BAC0428;BAC0429;BAC0430;BAC0431;BAC0432;BAC0433;BAC0434;BAC0435;BAC0436;BAC0438;BAC0439;BAC0440;BAC0441;BAC0442;BAC0443;BAC0444;BAC0445;BAC0446;BAC0447;BAC0448;BAC0449;BAC0450;BAC0451;BAC0452;BAC0453;BAC0454;BAC0455;BAC0456;BAC0457;BAC0458;BAC0459;BAC0460;BAC0461;BAC0462;BAC0463;BAC0464;BAC0465;BAC0467;BAC0468;BAC0469;BAC0470;BAC0471;BAC0472;BAC0473;BAC0474;BAC0475;BAC0476;BAC0477;BAC0478;BAC0479;BAC0480;BAC0481;BAC0482;BAC0483;BAC0484;BAC0485;BAC0486;BAC0487;BAC0488;BAC0489;BAC0490;BAC0491;BAC0492;BAC0493;BAC0494;BAC0496;BAC0497;BAC0498;BAC0499;BAC0500;BAC0501;BAC0502;BAC0503;BAC0504;BAC0505;BAC0506;BAC0507;BAC0508;BAC0509;BAC0510;BAC0511;BAC0512;BAC0513;BAC0514;BAC0515;BAC0516;BAC0517;BAC0518;BAC0519;BAC0520;BAC0521;BAC0522;BAC0523;BAC0524;BAC0525;BAC0526;BAC0527;BAC0528;BAC0529;BAC0530;BAC0531;BAC0532;BAC0533;BAC0534;BAC0535;BAC0536;BAC0537;BAC0538;BAC0539;BAC0540;BAC0541;BAC0542;BAC0543;BAC0544;BAC0545;BAC0547;BAC0548;BAC0549;BAC0550;BAC0551;BAC0552;BAC0554;BAC0555;BAC0556;BAC0558;BAC0559;BAC0560;BAC0561;BAC0562;BAC0563;BAC0564;BAC0565;BAC0566;BAC0567;BAC0568;BAC0569;BAC0570;BAC0571;BAC0572;BAC0573;BAC0574;BAC0575;BAC0576;BAC0577;BAC0578;BAC0579;BAC0580;BAC0581;BAC0582;BAC0583;BAC0584;BAC0585;BAC0586;BAC0587;BAC0588;BAC0589;BAC0590;BAC0591;BAC0592;BAC0593;BAC0594;BAC0595;BAC0596;BAC0597;BAC0598;BAC0599;BAC0600;BAC0602;BAC0603;BAC0604;BAC0605;BAC0606;BAC0607;BAC0608;BAC0609;BAC0610;BAC0611;BAC0612;BAC0613;BAC0614;BAC0615;BAC0616;BAC0617;BAC0619;BAC0620;BAC0621;BAC0622;BAC0623;BAC0624;BAC0625;BAC0626;BAC0628;BAC0629;BAC0630;BAC0631;BAC0632;BAC0633;BAC0634;BAC0635;BAC0637;BAC0638;BAC0639;BAC0640;BAC0641;BAC0642;BAC0643;BAC0644;BAC0645;BAC0646;BAC0647;BAC0648;BAC0649;BAC0650;BAC0651;BAC0652;BAC0653;BAC0654;BAC0657;BAC0658;BAC0659;BAC0662;BAC0664;BAC0665;BAC0666;BAC0667;BAC0668;BAC0670;BAC0671;BAC0672;BAC0674;BAC0675;BAC0678;BAC0679;BAC0680;BAC0681;BAC0682;BAC0683;BAC0684;BAC0685;BAC0686;BAC0688;BAC0689;BAC0690;BAC0691;BAC0692;BAC0693;BAC0694;BAC0695;BAC0698;BAC0699;BAC0700;BAC0702;BAC0704;BAC0705;BAC0706;BAC0707;BAC0708;BAC0709;BAC0710;BAC0711;BAC0713;BAC0714;BAC0715;BAC0716;BAC0717;BAC0718;BAC0719;BAC0720;BAC0721;BAC0722;BAC0724;BAC0725;BAC0729;BAC0730;BAC0731;BAC0732;BAC0733;BAC0734;BAC0735;BAC0738;BAC0739;BAC0740;BAC0741;BAC0742;BAC0743;BAC0744;BAC0745;BAC0746;BAC0747;BAC0748;BAC0749;BAC0750;BAC0751;BAC0752;BAC0753;BAC0754;BAC0755;BAC0758
L0Z;lettuce;w0;Z;L0;L_untreated;L0_untreated;9.69;7.27;33.92;0.00;26.65;2.42;12.12;0.00;2.42;0.00;4.85;0.00;12.12;9.69;4.85;41.19;7.27;4.85;14.54;7.27;0.00;4.85;0.00;0.00;7.27;14.54;2.42;2.42;0.00;0.00;0.00;2.42;2.42;19.39;12.12;0.00;135.70;24.23;19.39;4.85;9.69;2.42;4.85;0.00;2.42;50.89;0.00;12.12;2.42;2.42;0.00;0.00;2.42;0.00;7.27;2.42;12.12;0.00;0.00;0.00;0.00;2.42;2.42;0.00;0.00;0.00;2.42;7.27;24.23;0.00;7.27;0.00;2.42;0.00;0.00;181.74;2.42;0.00;9.69;12.12;116.31;79.96;7.27;4.85;4.85;0.00;0.00;0.00;0.00;9.69;4.85;4.85;0.00;7.27;2.42;4.85;9.69;0.00;0.00;55.73;4.85;9.69;19.39;12.12;0.00;0.00;9.69;14.54;7.27;12.12;0.00;65.42;9.69;7.27;0.00;2.42;4.85;7.27;0.00;4.85;41.19;2.42;0.00;21.81;0.00;2.42;4.85;0.00;7.27;14.54;2.42;9.69;24.23;12.12;0.00;7.27;0.00;7.27;150.23;2.42;99.35;31.50;157.50;2.42;2.42;4.85;339.24;46.04;121.16;138.12;0.00;4.85;7.27;36.35;19.39;16.96;0.00;0.00;0.00;0.00;0.00;0.00;2.42;29.08;7.27;7.27;0.00;0.00;0.00;0.00;0.00;2.42;26.65;7.27;2.42;0.00;55.73;9.69;21.81;75.12;2.42;4.85;4.85;0.00;0.00;2.42;0.00;0.00;123.58;7.27;4.85;21.81;9.69;16.96;2.42;0.00;0.00;0.00;9.69;0.00;14.54;2.42;0.00;0.00;19.39;0.00;0.00;0.00;2.42;2.42;2.42;7.27;0.00;4.85;0.00;9.69;4.85;2.42;36.35;21.81;0.00;36.35;19.39;0.00;0.00;0.00;4.85;0.00;21.81;12.12;9.69;4.85;2.42;0.00;0.00;0.00;2.42;2.42;2.42;0.00;2.42;0.00;0.00;0.00;0.00;14.54;60.58;46.04;252.01;368.32;0.00;0.00;0.00;2.42;9.69;2.42;2.42;2.42;9.69;38.77;0.00;0.00;9.69;0.00;0.00;2.42;4.85;87.23;4.85;0.00;4.85;12.12;2.42;0.00;14.54;2.42;4.85;2.42;0.00;0.00;0.00;55.73;4.85;9.69;12.12;2.42;2.42;77.54;329.55;87.23;53.31;0.00;0.00;0.00;12.12;0.00;0.00;2.42;0.00;0.00;0.00;0.00;0.00;0.00;14.54;16.96;4.85;159.93;0.00;0.00;2.42;2.42;0.00;0.00;2.42;4.85;0.00;2.42;0.00;19.39;4.85;2.42;48.46;0.00;7.27;14.54;9.69;65.42;36.35;147.81;12.12;2.42;4.85;0.00;2.42;9.69;7.27;4.85;0.00;12.12;16.96;14.54;2.42;7.27;0.00;2.42;14.54;55.73;2.42;4.85;0.00;0.00;0.00;0.00;0.00;0.00;31.50;2.42;4.85;2.42;7.27;12.12;0.00;0.00;0.00;0.00;0.00;0.00;327.12;0.00;2.42;14.54;2.42;0.00;0.00;0.00;2.42;2.42;2.42;0.00;26.65;9.69;4.85;2.42;0.00;4.85;0.00;0.00;0.00;0.00;0.00;0.00;2.42;0.00;0.00;7.27;12.12;0.00;14.54;2.42;12.12;2.42;36.35;0.00;4.85;7.27;2.42;2.42;4.85;2.42;0.00;2.42;0.00;2.42;4.85;0.00;2.42;0.00;0.00;0.00;16.96;31.50;9.69;2.42;7.27;2.42;26.65;714.83;135.70;0.00;0.00;50.89;4.85;4.85;2.42;7.27;7.27;0.00;0.00;63.00;9.69;2.42;0.00;9.69;4.85;33.92;12.12;0.00;87.23;72.69;2.42;48.46;4.85;0.00;0.00;0.00;7.27;7.27;19.39;38.77;26.65;12.12;2.42;29.08;12.12;9.69;36.35;12.12;106.62;4.85;9.69;0.00;4.85;0.00;2.42;0.00;2.42;2.42;0.00;0.00;0.00;0.00;2.42;0.00;2.42;4.85;0.00;0.00;4.85;2.42;87.23;2.42;29.08;213.24;4.85;12.12;89.66;2.42;31.50;0.00;2.42;31.50;21.81;12.12;7.27;2.42;7.27;0.00;0.00;4.85;0.00;0.00;2.42;2.42;0.00;9.69;2.42;4.85;7.27;24.23;2.42;12.12;75.12;26.65;4.85;2.42;2.42;2.42;0.00;0.00;21.81;0.00;0.00;2.42;2.42;0.00;16.96;4.85;21.81;2.42;16.96;24.23;2.42;9.69;0.00;0.00;7.27;0.00;2.42;2.42;0.00;7.27;7.27;72.69;4.85;21.81;46.04;494.32;0.00;7.27;443.43;9.69;7.27;748.75;12.12;48.46;50.89;19.39;2.42;0.00;0.00;0.00;0.00;0.00;2.42;2.42;0.00;0.00;0.00;0.00;2.42;0.00;0.00;2.42;0.00;0.00;2.42;0.00;0.00;0.00;9.69;46.04;2.42;0.00;4.85;0.00;50.89;72.69;12.12;0.00;0.00;7.27;2.42;0.00;24.23;2.42;2.42;0.00;0.00;0.00;0.00;0.00;2.42;0.00;0.00;0.00;2.42;0.00;0.00;0.00;0.00;0.00;4.85;0.00;2.42;0.00;9.69;0.00;0.00;2.42;2.42;7.27;4.85;0.00;0.00;0.00;0.00;0.00;2.42;0.00;0.00;2.42;4.85;2.42;36.35;72.69;43.62;55.73;0.00;12.12;0.00;0.00;121.16;7.27;2.42;2.42;2.42;116.31;0.00;2.42;0.00;0.00;0.00;2.42;9.69;0.00;0.00;0.00;0.00;0.00;0.00;9.69;7.27;2.42;0.00;0.00;2.42;9.69;0.00;2.42;0.00;4.85;2.42;2.42;9.69;99.35;9.69;92.08;4.85
L1A;lettuce;w1;A;L1;L_conventional;L1_conventional;5.93;9.48;7.70;0.59;1.19;0.00;7.70;0.00;1.19;0.00;1.19;0.59;1.78;6.52;0.59;3.56;1.19;0.59;1.78;1.19;0.00;9.48;1.19;0.00;5.93;19.56;5.33;9.48;21.93;0.00;1.19;2.37;0.59;4.15;36.74;0.59;145.77;18.37;21.33;9.48;3.56;0.00;2.37;0.59;1.78;42.67;0.00;1.78;0.00;1.78;0.00;0.00;1.78;1.19;2.37;0.59;5.93;8.30;1.78;1.78;6.52;0.59;0.00;0.00;7.70;0.00;5.33;4.15;10.67;0.59;2.96;0.00;2.37;0.00;0.00;161.77;1.78;0.00;12.44;3.56;101.92;45.04;4.74;4.15;1.19;0.00;0.59;0.59;0.00;2.96;1.78;4.15;0.00;5.93;0.59;0.59;2.37;0.59;0.00;23.70;2.96;4.74;2.37;8.89;1.19;0.59;1.19;1.19;0.59;23.70;0.59;58.07;7.70;0.00;0.00;0.00;2.37;1.78;0.00;1.19;22.52;0.59;0.00;4.74;0.00;2.37;3.56;0.00;4.15;5.93;0.00;1.78;12.44;1.78;1.19;1.19;0.59;6.52;227.55;0.59;88.89;32.59;117.33;0.00;4.15;7.11;246.51;40.89;155.85;149.92;1.19;1.19;3.56;4.74;21.33;26.07;7.70;0.00;0.00;0.00;0.00;0.00;0.00;26.67;9.48;0.59;2.37;0.59;0.00;0.00;0.00;0.00;19.56;4.15;2.37;0.00;45.63;4.15;16.59;33.78;8.89;0.00;4.74;0.00;0.00;0.59;1.19;1.78;106.07;1.19;0.59;5.33;0.59;1.19;1.19;0.00;0.00;0.00;1.78;0.59;11.85;1.78;0.00;0.00;9.48;0.00;1.19;0.00;0.00;2.37;0.00;1.19;0.00;0.59;0.00;2.37;0.59;0.59;13.04;4.15;0.59;13.04;6.52;2.96;0.00;0.00;1.19;2.37;8.30;5.33;14.22;0.00;2.37;1.78;1.19;0.00;0.59;4.74;0.59;2.37;0.00;0.00;0.00;0.59;0.59;8.89;108.44;117.92;345.47;492.43;1.78;1.78;0.59;0.00;1.19;4.15;1.78;3.56;3.56;15.41;2.96;5.93;17.78;0.00;0.00;1.78;1.19;53.92;11.26;1.19;1.19;2.37;1.19;0.00;0.59;2.96;4.15;2.37;0.00;0.00;0.00;38.52;2.37;11.26;2.37;2.96;0.59;40.30;338.36;78.22;13.04;4.15;0.59;0.00;6.52;0.00;0.00;0.00;0.00;0.59;0.00;0.00;0.59;0.00;3.56;58.67;0.59;168.88;0.00;0.00;2.37;0.00;0.59;0.59;0.00;1.19;0.00;0.59;2.37;9.48;0.59;4.74;84.15;7.70;10.07;32.00;7.70;57.48;11.26;153.48;7.11;0.00;4.15;1.78;1.19;26.67;10.67;15.41;4.74;4.15;31.41;10.67;0.00;1.78;2.37;4.74;2.37;58.67;1.78;1.19;0.59;0.00;0.59;0.59;0.59;0.00;46.81;4.15;5.33;0.00;10.07;2.96;0.00;0.00;0.00;0.00;0.00;2.96;411.84;1.78;1.78;26.67;2.96;0.00;0.00;0.59;1.19;1.78;1.78;0.59;13.04;2.37;1.78;1.19;2.37;1.78;0.59;0.00;0.00;0.00;0.00;0.00;1.19;0.00;0.00;4.15;8.30;0.00;1.19;0.00;6.52;7.11;67.55;11.85;8.30;2.37;4.15;1.78;0.00;0.00;0.00;1.19;0.00;0.00;1.19;0.00;4.15;0.00;4.74;0.00;8.89;20.15;0.00;0.59;5.33;7.11;20.74;717.61;77.63;2.96;0.59;13.04;1.19;0.59;0.00;4.15;0.59;0.59;0.00;8.89;1.19;2.37;0.00;4.74;0.59;11.26;2.96;0.00;48.59;38.52;7.11;14.81;2.96;0.00;1.19;1.19;3.56;5.93;39.11;5.33;11.85;2.37;2.96;4.74;6.52;2.96;20.15;1.19;46.22;0.59;5.93;0.00;2.37;0.00;1.19;0.00;2.96;2.37;0.00;0.00;0.59;0.00;1.78;0.00;1.78;0.59;0.00;1.19;3.56;0.59;67.55;0.00;4.74;113.77;0.00;8.89;49.18;1.19;45.63;0.00;1.78;17.18;14.22;8.30;1.19;0.00;8.30;1.78;0.59;1.19;0.00;0.00;4.74;3.56;0.59;11.26;1.19;0.00;4.15;9.48;0.00;10.67;40.30;5.93;3.56;2.37;16.00;4.74;0.59;1.19;13.63;0.59;0.59;1.19;0.00;1.19;5.33;1.78;30.81;1.19;11.26;16.59;2.96;9.48;2.96;4.74;5.33;3.56;0.59;7.70;2.96;4.15;3.56;45.63;6.52;15.41;36.15;459.84;0.00;12.44;511.99;13.63;11.85;737.17;2.37;15.41;53.92;28.44;7.11;0.00;0.00;0.00;0.59;0.00;0.00;1.78;0.00;1.19;0.00;0.59;0.00;2.96;0.00;1.78;0.59;0.00;0.00;0.59;0.00;0.00;6.52;32.59;1.19;0.59;2.37;1.78;42.67;30.22;4.15;1.19;0.00;4.15;4.15;0.59;26.67;2.96;2.96;0.00;0.00;0.00;0.00;0.00;1.19;0.00;0.00;0.59;0.59;0.59;0.00;0.00;0.00;2.37;0.00;0.00;1.78;0.59;7.11;0.00;4.15;0.59;1.19;5.33;2.96;0.00;0.00;0.00;0.59;1.19;0.59;2.37;0.00;0.00;2.37;1.78;56.89;45.63;14.22;42.07;0.00;14.81;0.59;8.89;137.48;17.18;0.00;9.48;0.59;110.81;3.56;0.00;0.59;1.78;0.00;0.59;3.56;0.00;1.19;0.00;2.96;0.00;0.59;0.59;7.11;1.78;0.00;0.00;0.00;2.37;15.41;1.78;0.59;6.52;4.74;0.59;4.15;85.33;19.56;82.37;0.59
