SID;system;time;treat;sys-time;sys-treat;sys-time-treat;RF0002;RF0003;RF0004;RF0005;RF0006;RF0007;RF0008;RF0009;RF0010;RF0011;RF0012;RF0013;RF0014;RF0015;RF0016;RF0017;RF0018;RF0019;RF0020;RF0021;RF0022;RF0023;RF0024;RF0025;RF0027;RF0028;RF0029;RF0030;RF0031;RF0032;RF0033;RF0034;RF0035;RF0036;RF0037;RF0038;RF0039;RF0040;RF0042;RF0044;RF0045;RF0048;RF0050;RF0051;RF0052;RF0053;RF0054;RF0055;RF0056;RF0057;RF0058;RF0059;RF0060;RF0061;RF0063;RF0064;RF0065;RF0066;RF0067;RF0068;RF0069;RF0070;RF0071;RF0072;RF0074;RF0075;RF0077;RF0078;RF0079;RF0082;RF0084;RF0085;RF0086;RF0088;RF0089;RF0090;RF0091;RF0092;RF0093;RF0094;RF0095;RF0096;RF0097;RF0098;RF0099;RF0100;RF0101;RF0102;RF0103;RF0104;RF0105;RF0106;RF0107;RF0108;RF0109;RF0112;RF0113;RF0114;RF0115;RF0116;RF0117;RF0119;RF0121;RF0123;RF0124;RF0125;RF0126;RF0127;RF0128;RF0129;RF0131;RF0132;RF0133;RF0134;RF0135;RF0136;RF0137;RF0139;RF0140;RF0141;RF0142;RF0143;RF0144;RF0145;RF0146;RF0147;RF0148;RF0150;RF0152;RF0153;RF0154;RF0155;RF0157;RF0158;RF0159;RF0160;RF0161;RF0162;RF0163;RF0164;RF0165;RF0166;RF0167;RF0168;RF0169;RF0171;RF0172;RF0173;RF0174
S0Z;soil;w0;Z;S0;S_untreated;S0_untreated;2.77;4.85;0.69;0.00;1.39;18.70;2469.48;125.34;470.90;369.11;329.63;46.40;8.31;5.54;40.17;5.54;269.39;2.77;0.69;14.54;0.00;11.77;316.48;198.75;0.00;0.69;2.77;3.46;6.93;157.20;0.69;6.93;85.87;0.00;0.00;315.78;32.55;0.00;1.39;0.00;0.69;36.70;0.00;6.93;1.39;0.69;79.64;0.00;4.16;0.00;4.16;0.00;73.41;29.09;46.40;0.69;6.23;3.46;38.09;0.69;0.00;0.00;0.00;0.00;9.70;0.00;289.47;1.39;1.39;0.00;1.39;484.75;198.06;9.70;6.23;0.00;2.08;56.09;49.86;0.00;495.83;0.00;0.00;4.85;0.00;0.00;0.00;691.81;31.16;12.47;0.00;0.00;55.40;0.69;0.00;0.00;3.46;6.93;9.70;1.39;9.00;0.00;31.86;7.62;1.39;24.24;0.00;6.23;0.69;0.69;0.00;0.00;0.69;6.23;17.31;0.00;0.00;45.71;21.47;61.63;48.48;2164.78;89.33;19.39;26.32;15.24;213.98;0.00;0.00;83.79;728.52;428.66;0.00;9.00;0.00;0.00;0.00;0.00;85.18;243.07;63.71;0.00;0.00;2.77;52.63;492.37;0.00;0.00;0.00
S1A;soil;w1;A;S1;S_conventional;S1_conventional;2.88;13.45;0.96;0.00;0.00;13.45;2379.81;122.93;376.47;352.46;296.76;65.31;7.68;9.60;28.81;5.76;248.74;3.84;0.00;20.17;0.96;18.25;331.33;207.44;0.96;0.00;0.00;2.88;6.72;167.11;0.00;4.80;89.32;0.00;0.00;340.93;67.23;0.00;1.92;0.00;2.88;37.45;0.00;0.96;0.00;3.84;74.91;0.00;5.76;0.00;1.92;0.00;73.95;26.89;63.38;0.00;3.84;7.68;48.02;0.00;0.96;0.00;0.00;0.00;6.72;0.00;272.75;0.96;0.00;0.00;2.88;474.43;186.31;11.52;3.84;0.00;0.00;41.30;49.94;0.00;560.86;2.88;0.00;6.72;0.00;0.96;0.00;672.26;27.85;4.80;0.00;0.96;42.26;0.00;0.00;2.88;2.88;8.64;6.72;0.00;7.68;0.00;45.14;5.76;1.92;31.69;0.00;12.48;0.00;0.00;0.00;0.00;0.00;10.56;11.52;0.00;0.00;55.70;30.73;39.38;60.50;2028.32;94.12;18.25;25.93;24.97;211.28;0.00;0.00;83.55;680.91;369.75;0.00;18.25;0.00;0.00;0.00;0.00;67.23;253.54;71.07;0.00;0.00;1.92;69.15;448.50;0.00;0.96;0.00
S1B;soil;w1;B;S1;S_manured;S1_manured;0.94;7.52;0.00;0.00;1.88;9.40;2439.97;133.47;405.10;348.70;306.41;49.81;8.46;5.64;20.68;6.58;273.51;7.52;0.00;31.02;0.94;9.40;344.94;203.96;0.94;0.00;0.94;0.94;3.76;161.66;0.00;11.28;81.77;0.00;0.00;328.02;61.09;1.88;1.88;0.00;0.94;38.54;0.94;2.82;0.00;6.58;81.77;0.94;3.76;0.00;0.94;0.94;88.35;25.38;50.75;0.00;0.94;7.52;46.99;0.00;0.00;0.94;0.00;0.00;10.34;0.00;261.29;0.00;0.94;0.00;0.94;469.95;164.48;11.28;4.70;0.94;0.00;55.45;38.54;0.00;502.85;0.00;0.00;3.76;0.00;1.88;0.94;629.73;26.32;5.64;0.00;0.00;49.81;0.00;0.00;1.88;1.88;1.88;4.70;0.94;11.28;0.00;36.66;5.64;1.88;35.72;0.00;10.34;0.00;0.94;0.00;0.00;0.94;2.82;15.04;0.00;0.00;63.91;30.08;42.30;49.81;2025.48;87.41;16.92;24.44;29.14;213.36;0.00;0.00;80.83;695.52;386.30;0.00;15.98;0.00;0.00;0.00;0.00;57.33;281.03;77.07;0.00;0.00;0.00;67.67;444.57;0.00;0.00;0.00
S1C;soil;w1;C;S1;S_manured;S1_manured;0.85;10.24;0.85;0.00;1.71;13.65;2419.06;105.77;377.02;330.10;308.78;46.06;7.68;5.12;27.30;8.53;262.72;8.53;1.71;29.00;0.85;7.68;327.55;222.63;0.85;0.00;0.00;1.71;5.12;168.89;0.00;11.09;85.30;0.00;0.00;367.64;53.74;1.71;2.56;0.00;4.26;37.53;0.00;2.56;0.00;4.26;87.00;0.85;3.41;0.85;0.85;0.00;88.71;24.74;50.33;0.00;5.97;3.41;52.88;0.00;0.00;0.00;0.00;0.00;5.12;1.71;298.54;0.00;0.00;0.00;1.71;459.76;174.86;16.21;5.12;0.00;0.85;46.06;44.36;0.00;503.26;0.00;0.00;7.68;1.71;0.85;0.00;672.15;29.85;5.97;0.00;0.00;56.30;0.00;0.00;1.71;0.85;6.82;8.53;0.00;10.24;0.00;44.36;5.97;2.56;34.12;0.00;7.68;0.00;0.85;0.00;0.00;0.00;2.56;11.09;0.00;0.00;52.88;24.74;47.77;54.59;1976.36;84.45;12.79;24.74;32.41;214.95;0.00;0.00;92.98;646.56;386.40;0.00;12.79;0.00;0.85;0.85;0.00;43.50;301.96;67.39;0.00;0.00;5.12;46.91;450.38;0.00;1.71;0.00
S1D;soil;w1;D;S1;S_conventional;S1_conventional;2.55;11.03;0.00;0.00;1.70;13.58;2396.49;110.32;367.45;369.15;317.38;56.86;12.73;6.79;31.40;5.94;262.22;5.09;0.85;24.61;1.70;16.12;336.90;210.46;0.00;0.00;0.00;0.85;8.49;191.79;0.00;8.49;78.92;0.00;0.00;337.75;67.04;0.85;2.55;0.00;2.55;42.43;1.70;2.55;0.00;6.79;75.53;0.00;3.39;0.85;1.70;0.85;83.16;26.31;61.95;0.00;2.55;5.09;48.37;0.00;0.00;0.85;0.85;0.00;5.94;0.85;266.47;3.39;0.00;0.00;2.55;481.16;174.81;14.43;5.09;0.00;1.70;64.49;40.73;0.00;519.35;0.85;0.00;5.09;0.85;0.85;0.00;688.23;29.70;5.94;0.00;0.00;51.77;0.85;0.00;0.00;1.70;5.09;7.64;0.00;13.58;0.00;34.79;5.94;2.55;35.64;0.00;11.03;0.00;0.00;0.00;0.00;0.85;5.09;13.58;0.00;0.00;45.83;32.25;46.67;57.71;2083.35;85.71;23.76;30.55;28.00;243.55;0.00;0.00;97.59;705.20;390.36;0.00;12.73;0.00;0.00;0.00;0.00;62.80;291.07;74.68;0.00;0.00;2.55;65.34;441.28;0.00;0.85;0.00
S5A;soil;w5;A;S5;S_conventional;S5_conventional;1.68;8.40;1.68;0.84;1.68;14.29;2455.00;113.46;409.31;341.23;313.49;43.70;14.29;9.25;39.50;3.36;260.54;3.36;0.00;12.61;2.52;16.81;335.35;189.10;0.00;0.00;0.00;0.84;8.40;168.09;0.00;15.13;82.37;0.00;0.00;289.12;33.62;0.00;1.68;0.00;0.00;31.10;0.00;4.20;0.84;2.52;63.88;0.84;5.88;0.00;2.52;0.00;72.28;26.05;47.07;0.84;3.36;5.04;51.27;0.00;0.84;0.84;0.00;0.00;7.56;0.00;289.12;0.00;0.84;0.00;0.00;471.50;192.47;18.49;3.36;0.00;3.36;59.67;52.11;0.00;459.73;0.00;0.00;3.36;2.52;0.00;0.84;632.03;21.01;5.04;0.00;0.00;53.79;0.00;0.00;0.00;5.04;10.93;4.20;0.84;7.56;0.00;40.34;5.88;3.36;30.26;0.00;15.13;0.00;0.84;0.00;0.00;1.68;10.93;14.29;0.00;0.00;42.02;21.01;52.95;49.59;2069.22;83.21;21.01;23.53;21.85;221.88;0.00;0.00;84.89;692.54;450.49;0.00;9.25;0.00;0.00;0.00;0.00;89.09;263.91;76.48;0.00;0.00;3.36;52.95;493.35;0.00;0.84;0.00
S5B;soil;w5;B;S5;S_manured;S5_manured;1.31;8.51;3.27;0.00;1.31;18.98;2329.77;134.20;398.66;366.58;287.38;50.41;14.40;7.20;35.35;19.64;256.61;5.89;2.62;32.73;2.62;18.33;386.22;191.15;0.00;0.00;2.62;0.65;9.16;170.20;0.00;7.20;94.26;0.65;0.00;346.94;47.13;0.65;1.96;0.00;0.65;49.75;1.31;8.51;0.00;3.27;75.94;0.00;3.93;0.00;4.58;0.00;71.35;22.26;56.95;0.00;3.27;6.55;45.82;0.00;0.00;0.00;0.00;0.65;9.16;0.00;255.30;3.27;0.65;0.00;0.65;472.63;200.97;27.49;9.82;1.31;3.93;60.22;43.86;0.00;489.65;1.31;0.00;2.62;1.31;2.62;0.00;676.87;24.88;2.62;0.00;0.00;87.72;1.31;0.00;0.00;4.58;10.47;19.64;1.31;13.75;0.00;50.41;1.96;1.96;32.08;0.00;15.06;0.00;0.00;0.00;0.00;0.00;5.24;30.11;0.00;1.31;43.20;28.80;51.06;75.28;2294.42;121.10;18.98;25.53;30.77;248.10;0.00;0.00;109.32;775.72;686.69;0.65;8.51;0.00;1.31;0.00;0.00;52.37;371.17;72.01;0.65;0.00;3.93;52.37;460.85;0.00;0.00;0.00
S5C;soil;w5;C;S5;S_manured;S5_manured;1.58;11.06;3.16;0.00;1.58;16.60;2286.16;112.21;383.27;342.96;290.02;46.62;11.85;6.32;37.93;11.85;262.36;7.11;0.79;21.34;0.79;11.85;338.22;203.88;1.58;0.00;0.79;0.00;11.06;146.98;0.00;6.32;95.62;0.79;0.00;319.26;48.99;0.79;3.16;0.00;3.16;37.14;0.00;5.53;0.79;2.37;88.51;0.00;2.37;0.00;1.58;0.00;71.91;14.22;55.32;0.00;3.95;5.53;44.25;0.00;0.00;0.00;0.00;0.00;13.43;0.00;303.45;2.37;0.79;0.79;0.00;461.50;198.35;23.71;6.32;0.00;4.74;52.16;36.35;0.00;488.37;0.79;0.00;2.37;1.58;2.37;0.00;660.64;26.08;5.53;0.00;0.00;68.75;0.79;0.00;1.58;4.74;10.27;14.22;2.37;12.64;0.00;43.46;7.90;0.79;28.45;0.00;12.64;0.00;0.79;0.00;0.00;0.79;7.11;22.13;0.00;0.00;43.46;17.39;45.83;62.43;2061.73;116.17;15.01;22.92;27.66;209.41;0.00;0.00;92.46;696.20;548.43;0.79;8.69;0.00;0.79;0.00;0.00;52.95;304.24;65.59;0.00;0.00;7.11;48.99;461.50;0.00;0.79;0.00
S5D;soil;w5;D;S5;S_conventional;S5_conventional;1.10;4.97;2.76;0.00;2.21;17.67;2355.75;152.38;395.29;375.42;329.04;50.79;13.25;6.63;30.92;16.01;269.97;5.52;1.66;24.84;2.21;12.15;387.01;202.06;0.00;0.00;0.55;1.10;7.73;176.12;0.00;11.59;88.89;0.55;0.55;377.63;49.69;0.55;3.31;0.00;0.00;42.51;0.55;5.52;0.55;3.86;94.41;0.00;5.52;0.00;1.66;0.00;71.22;23.19;50.79;0.00;7.18;4.42;45.82;0.00;0.55;0.00;0.00;0.00;14.35;0.00;272.73;1.66;1.10;0.00;1.66;462.65;213.11;20.43;6.63;1.10;3.86;65.70;46.38;0.00;526.14;0.55;0.00;4.97;0.55;3.31;0.55;726.55;25.95;8.28;0.00;0.00;87.78;0.55;0.00;2.76;3.31;11.04;16.56;1.66;12.70;0.00;45.82;4.97;0.55;34.78;0.00;13.80;0.00;0.55;0.00;0.00;0.00;9.94;26.50;0.00;0.00;44.72;18.22;49.69;69.56;2330.36;101.58;20.43;21.53;32.57;263.90;0.00;0.55;90.54;739.80;653.67;0.00;7.73;0.00;0.55;0.55;0.00;59.63;319.11;65.70;0.00;0.00;6.63;51.34;489.15;0.00;0.00;0.00
W1A;water;w1;a;W1;W_river;W1_river;0.00;1.02;0.00;0.00;0.00;31.26;2415.05;160.39;333.59;400.71;277.22;76.35;25.62;11.27;11.27;97.87;324.36;24.08;17.42;134.77;10.76;24.08;716.88;221.37;1.02;0.00;0.00;1.02;7.17;313.09;2.05;2.56;153.21;4.61;0.00;289.01;56.37;0.00;2.05;0.00;10.25;68.66;22.55;30.75;0.51;13.32;58.42;12.81;25.11;1.02;0.51;1.54;59.44;15.89;124.52;0.00;18.45;31.77;90.70;0.00;0.00;0.00;0.00;0.00;35.36;0.00;230.59;0.00;1.02;0.00;0.51;641.55;159.36;29.72;9.22;0.51;1.02;96.85;28.18;0.51;331.54;7.69;2.56;15.37;1.54;3.07;0.51;1297.97;44.07;12.81;0.00;0.51;239.30;3.59;0.00;5.64;4.61;7.17;68.66;1.54;25.62;0.00;163.98;1.54;1.54;19.98;0.00;23.57;0.00;0.00;0.00;0.00;0.51;4.10;36.89;0.51;0.00;58.93;109.15;90.70;109.15;3017.66;103.51;21.52;53.80;149.63;342.30;0.00;0.00;180.37;1148.85;1158.59;2.56;9.22;0.00;0.51;1.02;0.00;39.97;578.52;115.81;0.00;0.51;18.45;88.65;304.89;0.51;3.59;0.00
W1B;water;w1;b;W1;W_UV;W1_UV;0.00;0.00;0.00;0.00;0.00;41.46;2174.44;184.27;474.51;529.79;248.77;105.96;23.03;64.50;27.64;276.41;359.34;50.68;59.89;294.84;9.21;32.25;1359.03;262.59;0.00;0.00;0.00;0.00;0.00;433.05;4.61;13.82;152.03;13.82;0.00;386.98;69.10;0.00;0.00;0.00;9.21;92.14;23.03;92.14;0.00;18.43;92.14;9.21;32.25;0.00;0.00;0.00;32.25;13.82;152.03;0.00;41.46;73.71;105.96;0.00;0.00;0.00;0.00;0.00;96.74;0.00;327.09;0.00;0.00;0.00;0.00;953.62;225.74;73.71;46.07;0.00;4.61;138.21;55.28;0.00;502.15;4.61;0.00;46.07;4.61;9.21;0.00;2648.95;92.14;13.82;0.00;4.61;437.65;0.00;0.00;27.64;0.00;4.61;193.49;9.21;50.68;0.00;350.12;0.00;0.00;0.00;0.00;27.64;0.00;0.00;4.61;0.00;0.00;36.85;96.74;0.00;0.00;36.85;202.70;225.74;133.60;5155.09;128.99;50.68;73.71;202.70;359.34;0.00;0.00;313.27;1658.47;2063.88;4.61;9.21;0.00;0.00;0.00;0.00;41.46;723.28;96.74;0.00;0.00;13.82;152.03;520.58;0.00;0.00;0.00
W5A;water;w5;a;W5;W_river;W5_river;0.00;0.54;0.54;0.00;0.54;15.52;1898.28;102.19;291.59;299.62;164.79;39.06;17.12;6.42;5.89;38.52;262.70;12.84;6.96;50.29;5.35;15.52;475.64;209.20;0.54;0.00;0.54;0.00;6.96;180.30;0.54;2.68;62.60;1.61;0.00;103.26;60.99;0.00;0.54;0.00;1.07;42.80;11.24;6.42;0.00;2.68;32.10;2.68;8.03;0.54;0.54;0.00;105.40;50.83;115.57;0.00;8.03;17.66;112.36;0.00;0.54;1.07;0.54;0.00;32.10;4.28;121.99;0.00;1.07;0.00;0.00;520.05;161.58;15.52;9.10;0.54;1.07;27.82;23.01;0.00;376.13;1.61;1.07;4.82;0.54;1.61;0.00;582.11;38.52;12.31;0.00;0.54;121.99;0.54;0.00;1.07;3.75;3.21;25.68;1.61;6.96;0.00;77.58;2.14;0.54;9.63;0.00;12.84;0.00;0.00;0.00;0.00;1.07;10.70;44.94;0.00;0.00;74.37;25.15;33.17;37.99;1940.01;140.18;5.89;52.97;44.41;414.11;0.00;0.54;123.06;589.07;508.28;3.21;3.75;1.07;0.00;0.00;0.00;90.42;259.49;112.36;0.00;1.07;3.75;41.20;216.69;0.00;0.54;0.54
W5B;water;w5;b;W5;W_UV;W5_UV;0.00;4.65;0.00;0.00;0.00;18.62;1880.20;265.28;395.59;549.17;367.66;130.31;18.62;18.62;23.27;432.82;353.70;74.46;102.39;474.70;18.62;55.85;1228.64;288.55;0.00;0.00;0.00;0.00;0.00;516.59;9.31;0.00;218.74;18.62;0.00;544.51;116.35;0.00;37.23;0.00;4.65;69.81;9.31;74.46;0.00;32.58;60.50;4.65;18.62;0.00;4.65;0.00;18.62;4.65;107.04;0.00;51.19;41.89;93.08;0.00;0.00;0.00;0.00;0.00;134.96;0.00;363.01;0.00;0.00;0.00;0.00;823.75;242.01;65.16;37.23;0.00;0.00;195.47;148.93;0.00;600.36;18.62;9.31;55.85;4.65;4.65;0.00;2466.60;107.04;37.23;0.00;23.27;679.48;0.00;0.00;27.92;13.96;13.96;297.85;4.65;27.92;0.00;525.90;0.00;0.00;51.19;0.00;55.85;0.00;0.00;0.00;0.00;0.00;32.58;111.69;0.00;0.00;69.81;148.93;283.89;218.74;3844.17;186.16;83.77;41.89;237.35;507.28;0.00;0.00;279.24;1587.00;2308.36;0.00;4.65;0.00;0.00;0.00;0.00;9.31;865.64;97.73;0.00;0.00;9.31;83.77;353.70;0.00;4.65;0.00
